bad_ip,threat_intel_source
60.211.244.0/24,cymru_http
221.7.131.0/24,cymru_http
124.164.243.0/24,cymru_http
218.21.240.0/24,cymru_http
218.56.65.0/24,cymru_http
219.156.49.0/24,cymru_http
221.7.133.0/24,cymru_http
121.18.71.0/24,cymru_http
221.4.190.0/24,cymru_http
124.88.36.0/24,cymru_http
58.18.93.0/24,cymru_http
119.10.114.0/24,cymru_http
124.205.1.0/24,cymru_http
124.207.144.0/24,cymru_http
204.244.205.0/24,cymru_http
81.242.125.0/24,cymru_http
81.183.31.0/24,cymru_http
81.182.199.0/24,cymru_http
81.183.40.0/24,cymru_http
188.36.65.0/24,cymru_http
188.6.32.0/24,cymru_http
91.120.101.0/24,cymru_http
88.102.74.0/24,cymru_http
90.179.144.0/24,cymru_http
196.3.132.0/24,cymru_http
173.230.180.0/24,cymru_http
66.44.228.0/24,cymru_http
190.64.22.0/24,cymru_http
200.40.159.0/24,cymru_http
190.234.16.0/24,cymru_http
74.83.184.0/24,cymru_http
71.0.108.0/24,cymru_http
15.125.66.0/24,cymru_http
148.240.203.0/24,cymru_http
189.209.170.0/24,cymru_http
206.48.129.0/24,cymru_http
200.87.225.0/24,cymru_http
121.96.173.0/24,cymru_http
41.248.229.0/24,cymru_http
81.169.167.0/24,cymru_http
82.158.64.0/24,cymru_http
212.220.39.0/24,cymru_http
80.109.153.0/24,cymru_http
86.101.150.0/24,cymru_http
99.50.60.0/24,cymru_http
76.230.184.0/24,cymru_http
71.29.158.0/24,cymru_http
200.43.130.0/24,cymru_http
186.110.233.0/24,cymru_http
190.225.192.0/24,cymru_http
64.122.90.0/24,cymru_http
216.190.29.0/24,cymru_http
201.223.62.0/24,cymru_http
119.46.176.0/24,cymru_http
61.91.127.0/24,cymru_http
61.90.230.0/24,cymru_http
117.3.146.0/24,cymru_http
125.212.217.0/24,cymru_http
114.199.152.0/24,cymru_http
136.186.231.0/24,cymru_http
203.156.140.0/24,cymru_http
123.30.241.0/24,cymru_http
133.242.144.0/24,cymru_http
203.155.20.0/24,cymru_http
189.82.154.0/24,cymru_http
200.223.223.0/24,cymru_http
186.244.67.0/24,cymru_http
189.82.173.0/24,cymru_http
71.194.239.0/24,cymru_http
24.19.1.0/24,cymru_http
201.209.195.0/24,cymru_http
201.209.125.0/24,cymru_http
186.88.14.0/24,cymru_http
186.89.81.0/24,cymru_http
201.242.162.0/24,cymru_http
190.203.39.0/24,cymru_http
186.93.36.0/24,cymru_http
137.135.204.0/24,cymru_http
137.117.82.0/24,cymru_http
189.165.108.0/24,cymru_http
201.120.140.0/24,cymru_http
189.242.188.0/24,cymru_http
189.130.86.0/24,cymru_http
189.170.21.0/24,cymru_http
189.234.68.0/24,cymru_http
187.151.174.0/24,cymru_http
187.148.163.0/24,cymru_http
187.237.16.0/24,cymru_http
187.134.199.0/24,cymru_http
189.139.136.0/24,cymru_http
187.145.80.0/24,cymru_http
187.194.80.0/24,cymru_http
187.214.31.0/24,cymru_http
201.127.72.0/24,cymru_http
187.207.16.0/24,cymru_http
189.243.108.0/24,cymru_http
189.155.190.0/24,cymru_http
148.235.147.0/24,cymru_http
189.170.55.0/24,cymru_http
189.170.16.0/24,cymru_http
189.143.164.0/24,cymru_http
200.23.120.0/24,cymru_http
187.192.113.0/24,cymru_http
189.234.87.0/24,cymru_http
189.234.93.0/24,cymru_http
187.194.122.0/24,cymru_http
187.140.13.0/24,cymru_http
189.139.45.0/24,cymru_http
189.139.42.0/24,cymru_http
189.177.42.0/24,cymru_http
187.138.87.0/24,cymru_http
187.151.139.0/24,cymru_http
189.143.254.0/24,cymru_http
187.155.73.0/24,cymru_http
189.143.93.0/24,cymru_http
189.170.15.0/24,cymru_http
189.177.110.0/24,cymru_http
189.177.107.0/24,cymru_http
187.194.97.0/24,cymru_http
189.132.188.0/24,cymru_http
187.194.126.0/24,cymru_http
189.174.77.0/24,cymru_http
187.171.198.0/24,cymru_http
187.134.221.0/24,cymru_http
187.145.41.0/24,cymru_http
189.165.62.0/24,cymru_http
187.192.76.0/24,cymru_http
201.120.80.0/24,cymru_http
187.145.5.0/24,cymru_http
187.145.6.0/24,cymru_http
189.128.130.0/24,cymru_http
189.143.212.0/24,cymru_http
189.179.184.0/24,cymru_http
189.143.146.0/24,cymru_http
213.27.147.0/24,cymru_http
81.177.22.0/24,cymru_http
82.204.204.0/24,cymru_http
109.191.193.0/24,cymru_http
88.206.92.0/24,cymru_http
88.206.84.0/24,cymru_http
88.206.125.0/24,cymru_http
46.185.135.0/24,cymru_http
77.46.238.0/24,cymru_http
109.93.248.0/24,cymru_http
95.31.249.0/24,cymru_http
194.27.68.0/24,cymru_http
95.183.157.0/24,cymru_http
178.234.54.0/24,cymru_http
178.234.239.0/24,cymru_http
95.179.126.0/24,cymru_http
95.179.107.0/24,cymru_http
95.179.39.0/24,cymru_http
178.234.243.0/24,cymru_http
95.179.62.0/24,cymru_http
178.234.62.0/24,cymru_http
78.25.226.0/24,cymru_http
84.221.187.0/24,cymru_http
84.221.175.0/24,cymru_http
188.26.96.0/24,cymru_http
93.120.27.0/24,cymru_http
85.110.160.0/24,cymru_http
195.175.56.0/24,cymru_http
178.88.68.0/24,cymru_http
88.204.247.0/24,cymru_http
202.84.33.0/24,cymru_http
58.176.64.0/24,cymru_http
61.92.252.0/24,cymru_http
59.148.176.0/24,cymru_http
59.149.236.0/24,cymru_http
123.202.136.0/24,cymru_http
61.91.127.0/24,cymru_http
112.209.71.0/24,cymru_http
113.254.213.0/24,cymru_http
223.16.199.0/24,cymru_http
223.16.170.0/24,cymru_http
223.16.169.0/24,cymru_http
218.188.39.0/24,cymru_http
223.16.152.0/24,cymru_http
223.16.150.0/24,cymru_http
223.19.109.0/24,cymru_http
113.252.99.0/24,cymru_http
223.19.107.0/24,cymru_http
113.252.84.0/24,cymru_http
113.254.227.0/24,cymru_http
223.16.153.0/24,cymru_http
211.215.1.0/24,cymru_http
1.224.83.0/24,cymru_http
110.205.68.0/24,cymru_http
219.68.44.0/24,cymru_http
119.14.73.0/24,cymru_http
119.14.75.0/24,cymru_http
220.255.1.0/24,cymru_http
220.255.2.0/24,cymru_http
175.107.250.0/24,cymru_http
119.226.80.0/24,cymru_http
221.135.190.0/24,cymru_http
203.157.170.0/24,cymru_http
203.157.163.0/24,cymru_http
203.157.151.0/24,cymru_http
125.24.107.0/24,cymru_http
101.109.2.0/24,cymru_http
182.52.38.0/24,cymru_http
101.109.62.0/24,cymru_http
101.109.7.0/24,cymru_http
125.27.142.0/24,cymru_http
101.109.11.0/24,cymru_http
113.53.230.0/24,cymru_http
182.52.39.0/24,cymru_http
203.113.122.0/24,cymru_http
182.53.78.0/24,cymru_http
101.109.16.0/24,cymru_http
118.175.176.0/24,cymru_http
101.109.9.0/24,cymru_http
125.24.100.0/24,cymru_http
182.52.140.0/24,cymru_http
125.26.121.0/24,cymru_http
221.176.4.0/24,cymru_http
221.180.149.0/24,cymru_http
117.198.240.0/24,cymru_http
203.157.163.0/24,cymru_http
203.157.151.0/24,cymru_http
203.158.100.0/24,cymru_http
61.18.209.0/24,cymru_http
61.10.50.0/24,cymru_http
203.64.178.0/24,cymru_http
120.105.97.0/24,cymru_http
140.126.146.0/24,cymru_http
220.229.248.0/24,cymru_http
61.56.203.0/24,cymru_http
122.146.47.0/24,cymru_http
113.196.182.0/24,cymru_http
61.31.90.0/24,cymru_http
124.11.241.0/24,cymru_http
124.11.173.0/24,cymru_http
124.11.211.0/24,cymru_http
123.194.61.0/24,cymru_http
210.17.38.0/24,cymru_http
210.83.204.0/24,cymru_http
218.106.182.0/24,cymru_http
61.19.247.0/24,cymru_http
122.155.162.0/24,cymru_http
61.19.114.0/24,cymru_http
61.19.238.0/24,cymru_http
61.7.213.0/24,cymru_http
61.19.30.0/24,cymru_http
61.19.29.0/24,cymru_http
61.19.193.0/24,cymru_http
122.154.68.0/24,cymru_http
122.154.109.0/24,cymru_http
61.19.246.0/24,cymru_http
122.155.197.0/24,cymru_http
61.19.197.0/24,cymru_http
122.155.201.0/24,cymru_http
122.155.16.0/24,cymru_http
61.19.73.0/24,cymru_http
61.19.69.0/24,cymru_http
122.154.141.0/24,cymru_http
61.19.83.0/24,cymru_http
203.148.48.0/24,cymru_http
101.78.9.0/24,cymru_http
101.78.15.0/24,cymru_http
216.55.138.0/24,cymru_http
216.55.186.0/24,cymru_http
148.241.180.0/24,cymru_http
66.240.192.0/24,cymru_http
66.240.236.0/24,cymru_http
71.6.135.0/24,cymru_http
71.6.167.0/24,cymru_http
71.6.165.0/24,cymru_http
196.28.101.0/24,cymru_http
186.146.0.0/24,cymru_http
186.83.140.0/24,cymru_http
174.102.196.0/24,cymru_http
71.79.35.0/24,cymru_http
65.25.18.0/24,cymru_http
64.94.100.0/24,cymru_http
66.150.155.0/24,cymru_http
190.111.194.0/24,cymru_http
148.244.127.0/24,cymru_http
201.151.226.0/24,cymru_http
189.206.75.0/24,cymru_http
146.83.201.0/24,cymru_http
146.83.216.0/24,cymru_http
186.74.169.0/24,cymru_http
187.161.51.0/24,cymru_http
201.49.59.0/24,cymru_http
24.42.202.0/24,cymru_http
65.198.60.0/24,cymru_http
50.74.186.0/24,cymru_http
65.19.76.0/24,cymru_http
213.253.214.0/24,cymru_http
188.84.209.0/24,cymru_http
95.167.110.0/24,cymru_http
77.235.202.0/24,cymru_http
85.52.68.0/24,cymru_http
87.220.195.0/24,cymru_http
87.220.170.0/24,cymru_http
87.220.162.0/24,cymru_http
87.220.191.0/24,cymru_http
87.220.201.0/24,cymru_http
87.220.200.0/24,cymru_http
87.220.208.0/24,cymru_http
87.220.185.0/24,cymru_http
87.220.171.0/24,cymru_http
87.220.190.0/24,cymru_http
87.220.160.0/24,cymru_http
87.220.163.0/24,cymru_http
87.220.167.0/24,cymru_http
87.220.178.0/24,cymru_http
2.228.80.0/24,cymru_http
93.63.251.0/24,cymru_http
195.154.11.0/24,cymru_http
212.83.129.0/24,cymru_http
212.129.3.0/24,cymru_http
212.83.165.0/24,cymru_http
195.154.106.0/24,cymru_http
212.83.173.0/24,cymru_http
62.210.141.0/24,cymru_http
212.129.0.0/24,cymru_http
217.219.255.0/24,cymru_http
78.39.133.0/24,cymru_http
87.213.11.0/24,cymru_http
178.151.105.0/24,cymru_http
201.233.18.0/24,cymru_http
76.74.159.0/24,cymru_http
190.96.80.0/24,cymru_http
216.70.190.0/24,cymru_http
186.46.139.0/24,cymru_http
54.208.140.0/24,cymru_http
54.211.221.0/24,cymru_http
54.211.114.0/24,cymru_http
184.73.88.0/24,cymru_http
50.16.76.0/24,cymru_http
184.72.169.0/24,cymru_http
190.212.237.0/24,cymru_http
154.35.32.0/24,cymru_http
65.111.190.0/24,cymru_http
65.111.175.0/24,cymru_http
64.20.212.0/24,cymru_http
200.90.179.0/24,cymru_http
46.98.246.0/24,cymru_http
46.98.3.0/24,cymru_http
46.98.165.0/24,cymru_http
212.231.62.0/24,cymru_http
87.111.152.0/24,cymru_http
213.73.22.0/24,cymru_http
46.119.128.0/24,cymru_http
46.118.52.0/24,cymru_http
82.192.86.0/24,cymru_http
85.17.141.0/24,cymru_http
178.32.4.0/24,cymru_http
91.121.177.0/24,cymru_http
46.105.110.0/24,cymru_http
46.105.174.0/24,cymru_http
188.165.172.0/24,cymru_http
200.155.14.0/24,cymru_http
54.72.67.0/24,cymru_http
54.200.15.0/24,cymru_http
54.207.7.0/24,cymru_http
68.67.113.0/24,cymru_http
189.112.76.0/24,cymru_http
200.61.163.0/24,cymru_http
150.70.172.0/24,cymru_http
150.70.173.0/24,cymru_http
150.70.97.0/24,cymru_http
150.70.75.0/24,cymru_http
200.142.105.0/24,cymru_http
42.79.80.0/24,cymru_http
113.10.245.0/24,cymru_http
124.121.221.0/24,cymru_http
115.87.89.0/24,cymru_http
110.168.254.0/24,cymru_http
61.90.62.0/24,cymru_http
124.122.107.0/24,cymru_http
124.120.112.0/24,cymru_http
58.11.60.0/24,cymru_http
58.9.238.0/24,cymru_http
124.120.165.0/24,cymru_http
124.120.184.0/24,cymru_http
124.120.227.0/24,cymru_http
115.87.111.0/24,cymru_http
124.120.13.0/24,cymru_http
58.8.208.0/24,cymru_http
110.169.216.0/24,cymru_http
110.168.102.0/24,cymru_http
110.171.119.0/24,cymru_http
115.87.88.0/24,cymru_http
124.122.132.0/24,cymru_http
58.8.160.0/24,cymru_http
58.8.17.0/24,cymru_http
124.120.92.0/24,cymru_http
61.90.61.0/24,cymru_http
124.120.253.0/24,cymru_http
124.120.242.0/24,cymru_http
124.120.170.0/24,cymru_http
124.120.60.0/24,cymru_http
124.120.222.0/24,cymru_http
110.168.183.0/24,cymru_http
124.120.17.0/24,cymru_http
124.120.147.0/24,cymru_http
58.9.163.0/24,cymru_http
58.11.146.0/24,cymru_http
124.121.163.0/24,cymru_http
61.90.104.0/24,cymru_http
124.121.237.0/24,cymru_http
110.168.148.0/24,cymru_http
110.168.204.0/24,cymru_http
58.11.157.0/24,cymru_http
124.120.58.0/24,cymru_http
211.95.7.0/24,cymru_http
123.151.149.0/24,cymru_http
210.63.211.0/24,cymru_http
140.117.53.0/24,cymru_http
140.112.68.0/24,cymru_http
175.101.5.0/24,cymru_http
210.209.152.0/24,cymru_http
210.209.162.0/24,cymru_http
218.249.78.0/24,cymru_http
112.90.218.0/24,cymru_http
124.192.229.0/24,cymru_http
203.196.130.0/24,cymru_http
211.237.24.0/24,cymru_http
121.202.26.0/24,cymru_http
203.90.183.0/24,cymru_http
222.124.32.0/24,cymru_http
36.80.33.0/24,cymru_http
116.50.38.0/24,cymru_http
140.114.214.0/24,cymru_http
140.114.32.0/24,cymru_http
140.114.204.0/24,cymru_http
115.254.9.0/24,cymru_http
61.64.151.0/24,cymru_http
202.53.8.0/24,cymru_http
219.252.183.0/24,cymru_http
58.186.103.0/24,cymru_http
58.187.31.0/24,cymru_http
42.114.43.0/24,cymru_http
216.70.190.0/24,cymru_http
69.84.207.0/24,cymru_http
200.146.4.0/24,cymru_http
201.22.172.0/24,cymru_http
201.22.171.0/24,cymru_http
201.22.170.0/24,cymru_http
200.69.115.0/24,cymru_http
201.245.120.0/24,cymru_http
200.69.102.0/24,cymru_http
71.87.25.0/24,cymru_http
108.61.128.0/24,cymru_http
217.199.167.0/24,cymru_http
193.108.160.0/24,cymru_http
80.69.77.0/24,cymru_http
85.9.252.0/24,cymru_http
109.127.65.0/24,cymru_http
77.52.148.0/24,cymru_http
69.8.160.0/24,cymru_http
200.8.16.0/24,cymru_http
186.14.33.0/24,cymru_http
201.239.144.0/24,cymru_http
200.120.228.0/24,cymru_http
98.189.18.0/24,cymru_http
189.203.98.0/24,cymru_http
190.178.173.0/24,cymru_http
170.136.110.0/24,cymru_http
204.93.130.0/24,cymru_http
204.93.154.0/24,cymru_http
63.245.66.0/24,cymru_http
58.221.64.0/24,cymru_http
125.26.121.0/24,cymru_http
203.172.242.0/24,cymru_http
203.172.194.0/24,cymru_http
203.172.250.0/24,cymru_http
203.172.217.0/24,cymru_http
203.142.38.0/24,cymru_http
203.142.38.0/24,cymru_http
116.193.73.0/24,cymru_http
116.193.77.0/24,cymru_http
125.210.224.0/24,cymru_http
119.77.140.0/24,cymru_http
211.136.170.0/24,cymru_http
122.176.45.0/24,cymru_http
81.4.216.0/24,cymru_http
81.4.218.0/24,cymru_http
81.4.219.0/24,cymru_http
93.102.196.0/24,cymru_http
94.41.122.0/24,cymru_http
94.98.183.0/24,cymru_http
188.52.38.0/24,cymru_http
188.48.20.0/24,cymru_http
188.49.183.0/24,cymru_http
94.99.180.0/24,cymru_http
78.138.118.0/24,cymru_http
83.244.223.0/24,cymru_http
77.121.132.0/24,cymru_http
77.121.134.0/24,cymru_http
95.37.40.0/24,cymru_http
109.184.124.0/24,cymru_http
109.184.103.0/24,cymru_http
109.184.30.0/24,cymru_http
85.172.9.0/24,cymru_http
217.173.202.0/24,cymru_http
72.8.183.0/24,cymru_http
200.105.151.0/24,cymru_http
64.39.109.0/24,cymru_http
199.89.55.0/24,cymru_http
200.160.122.0/24,cymru_http
200.158.43.0/24,cymru_http
189.19.204.0/24,cymru_http
187.11.220.0/24,cymru_http
186.11.8.0/24,cymru_http
189.215.201.0/24,cymru_http
46.166.70.0/24,cymru_http
46.166.64.0/24,cymru_http
84.18.126.0/24,cymru_http
178.206.138.0/24,cymru_http
178.206.172.0/24,cymru_http
178.206.15.0/24,cymru_http
217.23.186.0/24,cymru_http
178.206.17.0/24,cymru_http
178.206.190.0/24,cymru_http
178.206.85.0/24,cymru_http
178.207.143.0/24,cymru_http
178.206.148.0/24,cymru_http
62.233.42.0/24,cymru_http
92.62.74.0/24,cymru_http
94.102.49.0/24,cymru_http
89.248.162.0/24,cymru_http
80.82.70.0/24,cymru_http
46.39.252.0/24,cymru_http
212.50.50.0/24,cymru_http
41.189.60.0/24,cymru_http
212.233.243.0/24,cymru_http
81.167.175.0/24,cymru_http
173.254.216.0/24,cymru_http
69.64.36.0/24,cymru_http
173.248.174.0/24,cymru_http
109.226.221.0/24,cymru_http
178.17.35.0/24,cymru_http
95.131.70.0/24,cymru_http
64.94.100.0/24,cymru_http
66.150.155.0/24,cymru_http
72.35.184.0/24,cymru_http
109.73.170.0/24,cymru_http
71.194.239.0/24,cymru_http
24.19.1.0/24,cymru_http
109.69.28.0/24,cymru_http
46.250.28.0/24,cymru_http
46.250.27.0/24,cymru_http
213.74.127.0/24,cymru_http
41.86.157.0/24,cymru_http
87.248.226.0/24,cymru_http
88.149.236.0/24,cymru_http
109.73.70.0/24,cymru_http
188.227.185.0/24,cymru_http
88.150.213.0/24,cymru_http
80.84.53.0/24,cymru_http
88.150.242.0/24,cymru_http
88.150.210.0/24,cymru_http
50.23.105.0/24,cymru_http
41.139.147.0/24,cymru_http
114.215.200.0/24,cymru_http
114.215.189.0/24,cymru_http
115.29.41.0/24,cymru_http
114.215.186.0/24,cymru_http
114.215.107.0/24,cymru_http
121.199.167.0/24,cymru_http
211.149.195.0/24,cymru_http
211.149.167.0/24,cymru_http
210.211.117.0/24,cymru_http
124.158.9.0/24,cymru_http
119.63.88.0/24,cymru_http
223.27.252.0/24,cymru_http
140.120.227.0/24,cymru_http
188.233.52.0/24,cymru_http
94.41.161.0/24,cymru_http
46.191.254.0/24,cymru_http
78.100.82.0/24,cymru_http
92.49.241.0/24,cymru_http
178.140.249.0/24,cymru_http
193.200.46.0/24,cymru_http
95.79.84.0/24,cymru_http
77.75.123.0/24,cymru_http
92.42.51.0/24,cymru_http
82.221.105.0/24,cymru_http
178.210.253.0/24,cymru_http
119.160.210.0/24,cymru_http
110.164.111.0/24,cymru_http
110.164.213.0/24,cymru_http
110.164.158.0/24,cymru_http
223.205.71.0/24,cymru_http
110.164.76.0/24,cymru_http
203.147.88.0/24,cymru_http
113.172.194.0/24,cymru_http
113.162.239.0/24,cymru_http
113.163.188.0/24,cymru_http
63.245.66.0/24,cymru_http
66.253.176.0/24,cymru_http
85.9.252.0/24,cymru_http
95.131.135.0/24,cymru_http
95.64.94.0/24,cymru_http
85.95.254.0/24,cymru_http
178.218.36.0/24,cymru_http
193.242.213.0/24,cymru_http
109.95.71.0/24,cymru_http
82.221.105.0/24,cymru_http
178.217.117.0/24,cymru_http
46.8.167.0/24,cymru_http
46.16.113.0/24,cymru_http
46.36.35.0/24,cymru_http
206.48.129.0/24,cymru_http
189.41.77.0/24,cymru_http
203.130.49.0/24,cymru_http
119.59.122.0/24,cymru_http
82.118.3.0/24,cymru_http
110.77.240.0/24,cymru_http
110.78.153.0/24,cymru_http
110.77.210.0/24,cymru_http
61.7.181.0/24,cymru_http
110.78.168.0/24,cymru_http
119.42.113.0/24,cymru_http
110.77.212.0/24,cymru_http
110.78.164.0/24,cymru_http
110.78.177.0/24,cymru_http
110.77.179.0/24,cymru_http
116.58.240.0/24,cymru_http
119.42.69.0/24,cymru_http
116.58.244.0/24,cymru_http
116.58.225.0/24,cymru_http
110.77.190.0/24,cymru_http
110.77.217.0/24,cymru_http
110.77.192.0/24,cymru_http
110.77.228.0/24,cymru_http
110.77.189.0/24,cymru_http
119.42.79.0/24,cymru_http
110.78.173.0/24,cymru_http
110.77.187.0/24,cymru_http
110.77.197.0/24,cymru_http
110.78.151.0/24,cymru_http
110.77.181.0/24,cymru_http
110.78.148.0/24,cymru_http
110.77.238.0/24,cymru_http
119.42.116.0/24,cymru_http
119.42.77.0/24,cymru_http
119.42.87.0/24,cymru_http
116.58.237.0/24,cymru_http
110.77.182.0/24,cymru_http
110.78.144.0/24,cymru_http
110.78.174.0/24,cymru_http
119.42.106.0/24,cymru_http
61.7.186.0/24,cymru_http
119.42.76.0/24,cymru_http
110.78.178.0/24,cymru_http
46.38.235.0/24,cymru_http
188.226.216.0/24,cymru_http
186.219.210.0/24,cymru_http
194.151.189.242/32,known_spammers
95.79.12.12,known_spammers
5.248.85.107,known_spammers
60.173.10.231,known_spammers
60.173.9.37,known_spammers
123.164.66.55,known_spammers
118.97.95.185,known_spammers
122.226.12.3,known_spammers
121.205.238.94,known_spammers
87.68.22.158,known_spammers
79.177.119.236,known_spammers
91.200.13.31,known_spammers
222.239.255.38,known_spammers
103.30.75.5,known_spammers
121.34.3.45,known_spammers
117.102.209.90,known_spammers
42.49.215.115,known_spammers
121.136.57.163,known_spammers
218.234.108.13,known_spammers
103.252.54.241,known_spammers
121.63.20.205,known_spammers
157.250.131.78,known_spammers
219.117.238.106,known_spammers
114.113.239.241,known_spammers
119.122.99.45,known_spammers
103.11.74.118,zeus_c2s
103.23.201.219,zeus_c2s
103.241.0.100,zeus_c2s
103.4.52.150,zeus_c2s
103.7.59.135,zeus_c2s
107.150.43.186,zeus_c2s
107.160.185.173,zeus_c2s
107.161.123.138,zeus_c2s
108.171.248.154,zeus_c2s
108.61.63.78,zeus_c2s
109.127.8.242,zeus_c2s
109.163.233.100,zeus_c2s
109.229.210.250,zeus_c2s
109.229.36.65,zeus_c2s
109.235.59.44,zeus_c2s
109.68.33.64,zeus_c2s
112.124.96.196,zeus_c2s
113.108.204.30,zeus_c2s
115.28.220.112,zeus_c2s
115.28.36.152,zeus_c2s
115.29.46.99/32,zeus_c2s
116.193.76.135,zeus_c2s
121.199.57.56,zeus_c2s
123.30.129.179,zeus_c2s
124.150.141.42,zeus_c2s
128.210.157.251,zeus_c2s
141.105.67.94,zeus_c2s
141.255.166.202,zeus_c2s
141.255.166.203,zeus_c2s
141.255.167.27,zeus_c2s
142.0.78.145,zeus_c2s
142.0.78.47,zeus_c2s
142.0.79.10,zeus_c2s
142.4.202.114,zeus_c2s
144.76.240.101,zeus_c2s
146.185.174.81,zeus_c2s
148.251.7.40,zeus_c2s
149.154.64.20,zeus_c2s
15.185.99.202,zeus_c2s
151.248.125.64,zeus_c2s
151.97.190.239,zeus_c2s
159.253.147.248,zeus_c2s
16.54.12.15,zeus_c2s
162.211.84.6,zeus_c2s
173.193.105.244,zeus_c2s
173.193.204.119,zeus_c2s
173.230.253.193,zeus_c2s
173.242.112.135,zeus_c2s
173.249.152.23,zeus_c2s
174.140.165.210,zeus_c2s
176.119.2.90,zeus_c2s
176.119.2.91,zeus_c2s
176.215.86.120,zeus_c2s
176.9.27.59,zeus_c2s
176.99.7.78,zeus_c2s
178.19.99.42,zeus_c2s
178.217.186.169,zeus_c2s
178.217.186.227,zeus_c2s
178.217.187.108,zeus_c2s
178.217.187.143,zeus_c2s
178.63.165.150,zeus_c2s
180.151.58.244,zeus_c2s
181.50.248.15,zeus_c2s
182.71.19.180,zeus_c2s
184.171.165.222,zeus_c2s
184.22.228.51,zeus_c2s
184.72.233.8,zeus_c2s
185.10.57.154,zeus_c2s
185.12.46.133,zeus_c2s
185.20.227.39,zeus_c2s
185.24.233.119,zeus_c2s
185.24.233.254,zeus_c2s
185.24.233.5,zeus_c2s
185.24.234.131,zeus_c2s
185.25.117.244,zeus_c2s
185.25.117.49,zeus_c2s
185.25.48.107,zeus_c2s
185.5.55.248,zeus_c2s
186.64.120.104,zeus_c2s
188.138.125.186,zeus_c2s
188.219.154.228,zeus_c2s
188.247.135.53,zeus_c2s
188.247.135.58,zeus_c2s
188.247.135.74,zeus_c2s
188.247.135.99,zeus_c2s
188.40.126.207,zeus_c2s
190.128.29.1,zeus_c2s
190.14.38.161,zeus_c2s
190.15.192.25,zeus_c2s
190.96.85.117,zeus_c2s
192.157.212.215,zeus_c2s
192.186.184.8,zeus_c2s
192.225.175.71,zeus_c2s
192.241.219.86,zeus_c2s
192.64.177.143,zeus_c2s
192.64.9.121,zeus_c2s
192.95.12.34,zeus_c2s
193.107.19.24,zeus_c2s
193.120.55.242,zeus_c2s
193.169.244.174,zeus_c2s
195.13.249.204,zeus_c2s
195.3.146.47,zeus_c2s
