Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15281561,2,"Tuesday, February  5, 2013 14:42:01 UTC",34.0705,-117.2372,2.7,14.40,208,"Greater Los Angeles area, California"
ak,10650728,1,"Tuesday, February  5, 2013 14:27:57 UTC",63.3564,-145.0816,1.0,0.00, 7,"Central Alaska"
nc,71935581,2,"Tuesday, February  5, 2013 13:53:50 UTC",39.3178,-123.1817,1.5,6.60,21,"Northern California"
ak,10650721,1,"Tuesday, February  5, 2013 13:45:44 UTC",63.1643,-150.4649,1.4,99.80,19,"Central Alaska"
ak,10650720,1,"Tuesday, February  5, 2013 13:38:43 UTC",63.3670,-145.4245,1.2,10.30, 6,"Central Alaska"
ak,10650717,1,"Tuesday, February  5, 2013 13:35:55 UTC",64.6340,-149.2488,1.6,9.70,10,"Central Alaska"
us,2013lgah,5,"Tuesday, February  5, 2013 13:31:03 UTC",38.7007,142.0003,4.8,51.40,84,"near the east coast of Honshu, Japan"
ak,10650705,1,"Tuesday, February  5, 2013 13:24:31 UTC",63.3609,-150.7955,2.9,11.20,38,"Central Alaska"
us,2013lgag,4,"Tuesday, February  5, 2013 13:13:48 UTC",38.9157,99.9137,4.1,6.30,22,"northern Qinghai, China"
ci,15281545,0,"Tuesday, February  5, 2013 12:59:36 UTC",36.0135,-117.7908,1.8,0.10, 8,"Central California"
us,c000f1c3,5,"Tuesday, February  5, 2013 12:43:20 UTC",33.1074,140.5789,4.4,79.20,40,"Izu Islands, Japan region"
ak,10650698,1,"Tuesday, February  5, 2013 12:38:40 UTC",63.3433,-144.9777,1.4,0.40,10,"Central Alaska"
uu,60012342,4,"Tuesday, February  5, 2013 12:34:57 UTC",41.2938,-111.6600,1.5,0.40,22,"Utah"
pr,13036002,0,"Tuesday, February  5, 2013 12:16:41 UTC",19.3033,-68.6122,3.3,90.00, 6,"Dominican Republic region"
ci,15281521,0,"Tuesday, February  5, 2013 11:40:39 UTC",33.7697,-116.6930,1.0,20.20,30,"Southern California"
uw,60504871,1,"Tuesday, February  5, 2013 11:31:40 UTC",44.9652,-123.3643,1.8,26.50,32,"Oregon"
ci,15281513,0,"Tuesday, February  5, 2013 11:30:16 UTC",33.1743,-116.0452,1.4,12.30,59,"Southern California"
nc,71935531,1,"Tuesday, February  5, 2013 10:46:33 UTC",38.8182,-122.7648,1.9,0.90,23,"Northern California"
nc,71935526,0,"Tuesday, February  5, 2013 10:39:05 UTC",38.8150,-122.7788,1.4,0.90,19,"Northern California"
nn,00401855,9,"Tuesday, February  5, 2013 10:24:41 UTC",38.0033,-115.4532,3.3,4.00,23,"Nevada"
ak,10650680,1,"Tuesday, February  5, 2013 10:23:13 UTC",64.4580,-149.3914,1.6,11.60,16,"Central Alaska"
nc,71935521,2,"Tuesday, February  5, 2013 10:19:07 UTC",36.2365,-120.7863,1.2,9.30,16,"Central California"
ak,10650671,1,"Tuesday, February  5, 2013 09:42:06 UTC",61.7797,-148.4030,1.5,10.70,16,"Southern Alaska"
nn,00401854,9,"Tuesday, February  5, 2013 09:35:11 UTC",36.9913,-115.9740,1.2,8.30,11,"Nevada"
nc,71935496,0,"Tuesday, February  5, 2013 09:32:56 UTC",38.7768,-122.7162,1.2,2.90,22,"Northern California"
ci,15281489,0,"Tuesday, February  5, 2013 09:03:55 UTC",33.0522,-116.4437,1.4,6.30,49,"Southern California"
ak,10650655,1,"Tuesday, February  5, 2013 09:03:28 UTC",63.3270,-144.9416,1.6,0.90,12,"Central Alaska"
ci,15281481,2,"Tuesday, February  5, 2013 08:58:22 UTC",35.0722,-118.9660,2.5,12.40,85,"Central California"
us,c000f1ag,5,"Tuesday, February  5, 2013 08:55:29 UTC",12.1408,-88.5476,4.3,35.00,34,"off the coast of El Salvador"
nc,71935466,2,"Tuesday, February  5, 2013 08:48:34 UTC",37.9655,-118.6663,1.1,6.90,14,"Central California"
nc,71935431,0,"Tuesday, February  5, 2013 07:58:48 UTC",36.8848,-121.4127,1.2,5.00,13,"Central California"
ak,10650646,2,"Tuesday, February  5, 2013 07:55:09 UTC",51.5826,-178.4418,2.8,4.80,20,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71935421,2,"Tuesday, February  5, 2013 07:53:47 UTC",36.4678,-121.0130,1.8,7.70,38,"Central California"
hv,60463586,1,"Tuesday, February  5, 2013 07:03:06 UTC",19.3662,-155.1308,1.7,6.00, 8,"Island of Hawaii, Hawaii"
ak,10650789,2,"Tuesday, February  5, 2013 06:26:13 UTC",53.6776,-164.7611,1.8,28.40,11,"Unimak Island region, Alaska"
ak,10650793,2,"Tuesday, February  5, 2013 06:26:09 UTC",62.4237,-150.5958,1.3,73.50,19,"Central Alaska"
ak,10650635,2,"Tuesday, February  5, 2013 06:25:49 UTC",53.1764,-161.2328,2.9,25.70,14,"south of Alaska"
ci,15281473,2,"Tuesday, February  5, 2013 06:07:50 UTC",32.1615,-115.2112,3.1,18.70,23,"Baja California, Mexico"
nc,71935386,0,"Tuesday, February  5, 2013 06:04:14 UTC",37.4270,-121.7710,1.4,7.70,18,"San Francisco Bay area, California"
nc,71935371,1,"Tuesday, February  5, 2013 05:30:37 UTC",38.8160,-122.8145,1.5,2.60,30,"Northern California"
ak,10650625,1,"Tuesday, February  5, 2013 05:28:32 UTC",60.9138,-150.3329,1.6,46.70, 4,"Kenai Peninsula, Alaska"
ak,10650621,1,"Tuesday, February  5, 2013 05:15:50 UTC",61.1588,-151.0687,1.6,35.80, 5,"Southern Alaska"
nc,71932155,2,"Tuesday, February  5, 2013 05:06:52 UTC",37.5038,-119.3772,1.0,7.40,12,"Central California"
pr,13036001,0,"Tuesday, February  5, 2013 05:04:49 UTC",19.0084,-64.2054,3.1,56.00, 8,"Virgin Islands region"
pr,13036000,0,"Tuesday, February  5, 2013 04:52:56 UTC",18.8932,-64.2115,3.2,53.00,15,"Virgin Islands region"
ak,10650617,1,"Tuesday, February  5, 2013 04:45:39 UTC",62.2290,-145.9112,1.9,0.60,10,"Central Alaska"
nc,71935361,0,"Tuesday, February  5, 2013 04:39:23 UTC",38.7883,-122.7640,1.2,1.80,19,"Northern California"
nc,71935356,3,"Tuesday, February  5, 2013 04:37:41 UTC",38.8165,-122.8157,2.0,2.80,75,"Northern California"
ak,10650606,1,"Tuesday, February  5, 2013 04:28:19 UTC",61.2031,-150.3443,2.0,12.40,12,"Southern Alaska"
nc,71935341,3,"Tuesday, February  5, 2013 04:27:33 UTC",36.0025,-120.5623,2.5,4.80,96,"Central California"
us,c000f18y,6,"Tuesday, February  5, 2013 03:57:30 UTC",14.0356,92.9496,4.9,28.70,76,"Andaman Islands, India region"
ak,10650590,1,"Tuesday, February  5, 2013 03:37:13 UTC",63.4441,-144.6423,1.9,7.20,16,"Central Alaska"
ak,10650584,1,"Tuesday, February  5, 2013 03:30:56 UTC",59.0472,-150.0685,2.5,5.00,12,"Kenai Peninsula, Alaska"
us,c000f18r,5,"Tuesday, February  5, 2013 03:24:52 UTC",45.5192,151.2865,5.0,46.90,326,"Kuril Islands"
ak,10650575,2,"Tuesday, February  5, 2013 02:47:18 UTC",63.2785,-150.4244,1.2,117.60,16,"Central Alaska"
ak,10650569,1,"Tuesday, February  5, 2013 02:41:23 UTC",60.9232,-146.8529,2.1,22.10,21,"Southern Alaska"
ak,10650568,1,"Tuesday, February  5, 2013 02:39:29 UTC",63.0663,-151.4626,2.0,5.30,15,"Central Alaska"
hv,60463446,4,"Tuesday, February  5, 2013 02:35:22 UTC",19.3567,-155.5027,1.1,7.60,28,"Island of Hawaii, Hawaii"
nc,71935291,3,"Tuesday, February  5, 2013 02:08:36 UTC",36.9712,-121.6142,2.5,2.70,84,"Northern California"
ak,10650551,1,"Tuesday, February  5, 2013 01:46:45 UTC",62.2279,-151.4718,2.2,1.30,25,"Central Alaska"
ak,10650544,2,"Tuesday, February  5, 2013 01:33:26 UTC",51.8788,-174.0367,3.4,37.30,21,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60504811,1,"Tuesday, February  5, 2013 01:09:47 UTC",48.2903,-124.8433,1.0,5.10,12,"offshore Washington"
ak,10650534,1,"Tuesday, February  5, 2013 00:58:19 UTC",61.7125,-149.5739,1.5,41.00, 8,"Southern Alaska"
ak,10650490,2,"Tuesday, February  5, 2013 00:53:44 UTC",52.6097,-166.8905,2.2,6.70,15,"Fox Islands, Aleutian Islands, Alaska"
ci,15281417,0,"Tuesday, February  5, 2013 00:44:48 UTC",35.0460,-117.6810,1.8,0.10,22,"Southern California"
nc,71932140,2,"Tuesday, February  5, 2013 00:19:56 UTC",37.4067,-119.2455,1.4,23.60,13,"Central California"
ak,10650472,1,"Tuesday, February  5, 2013 00:17:23 UTC",64.9625,-147.3417,1.4,0.00,11,"Central Alaska"
uw,60504791,1,"Monday, February  4, 2013 23:36:41 UTC",44.3013,-120.8705,1.0,0.00,15,"Oregon"
ci,15281409,0,"Monday, February  4, 2013 23:20:16 UTC",34.3177,-116.9487,1.7,5.50,84,"Southern California"
ak,10650437,1,"Monday, February  4, 2013 23:05:05 UTC",61.5539,-146.3281,1.3,26.50, 6,"Southern Alaska"
nc,71935206,1,"Monday, February  4, 2013 23:04:17 UTC",38.8268,-122.8010,2.0,2.40,34,"Northern California"
nc,71935201,0,"Monday, February  4, 2013 22:53:38 UTC",38.8128,-122.8218,1.0,2.30,20,"Northern California"
nc,71935186,0,"Monday, February  4, 2013 22:30:29 UTC",38.8575,-122.8228,1.0,2.90,15,"Northern California"
hv,60463341,2,"Monday, February  4, 2013 22:03:00 UTC",19.4062,-155.3218,1.8,5.00,21,"Island of Hawaii, Hawaii"
nc,71935166,1,"Monday, February  4, 2013 21:25:38 UTC",38.8115,-122.8272,1.7,2.80,27,"Northern California"
nc,71935161,1,"Monday, February  4, 2013 21:25:23 UTC",38.8112,-122.8260,1.8,2.50,32,"Northern California"
ci,15281377,0,"Monday, February  4, 2013 21:21:34 UTC",33.7793,-116.4938,1.0,2.50,20,"Southern California"
pr,13035005,0,"Monday, February  4, 2013 21:15:06 UTC",18.8694,-64.3210,3.1,39.00, 9,"Virgin Islands region"
pr,13035004,0,"Monday, February  4, 2013 21:04:51 UTC",18.9120,-64.3292,2.5,39.00, 5,"Virgin Islands region"
pr,13035003,0,"Monday, February  4, 2013 20:56:03 UTC",18.8299,-64.2650,3.0,43.00, 7,"Virgin Islands region"
nc,71935121,0,"Monday, February  4, 2013 20:35:49 UTC",37.4093,-118.6005,1.0,11.30, 9,"Central California"
nm,020513a,A,"Monday, February  4, 2013 20:24:31 UTC",36.5346,-89.6190,1.6,7.60,20,"southeastern Missouri"
ci,15281313,0,"Monday, February  4, 2013 20:13:15 UTC",35.8105,-118.4845,1.5,1.50,21,"Central California"
nn,00401743,9,"Monday, February  4, 2013 18:49:47 UTC",38.1227,-115.0367,2.6,13.70, 5,"Nevada"
ci,15281281,0,"Monday, February  4, 2013 18:45:46 UTC",33.4828,-116.5203,1.4,11.40,50,"Southern California"
ci,15281289,0,"Monday, February  4, 2013 18:45:44 UTC",33.0010,-116.2175,2.0,5.60,16,"Southern California"
nc,71935021,5,"Monday, February  4, 2013 18:30:51 UTC",38.7892,-122.7425,2.9,1.90,77,"Northern California"
ak,10650349,1,"Monday, February  4, 2013 18:28:10 UTC",62.6497,-151.4702,2.0,0.00,15,"Central Alaska"
ci,15281273,0,"Monday, February  4, 2013 18:25:15 UTC",36.1442,-117.8795,1.5,2.30,21,"Central California"
us,c000f0zs,7,"Monday, February  4, 2013 17:47:49 UTC",37.5266,70.1759,4.7,14.00,52,"Hindu Kush region, Afghanistan"
ak,10650337,1,"Monday, February  4, 2013 17:39:43 UTC",63.4516,-147.7742,1.4,5.50,11,"Central Alaska"
ak,10650324,1,"Monday, February  4, 2013 17:06:37 UTC",60.6818,-152.4054,2.6,91.30,34,"Southern Alaska"
ci,15281265,0,"Monday, February  4, 2013 17:04:10 UTC",35.1502,-118.4020,1.7,0.00,23,"Central California"
ak,10650322,2,"Monday, February  4, 2013 17:01:57 UTC",60.0181,-152.8209,2.0,99.90,20,"Southern Alaska"
ak,10650315,1,"Monday, February  4, 2013 16:34:58 UTC",63.2957,-151.4271,1.2,28.10, 4,"Central Alaska"
nc,71934951,1,"Monday, February  4, 2013 15:38:09 UTC",38.8295,-122.8093,1.8,1.50,28,"Northern California"
ci,15281233,0,"Monday, February  4, 2013 15:19:52 UTC",33.9090,-117.9578,2.3,1.70,79,"Greater Los Angeles area, California"
nc,71934946,1,"Monday, February  4, 2013 15:02:00 UTC",38.8118,-122.8232,1.8,2.40,20,"Northern California"
nc,71934931,1,"Monday, February  4, 2013 14:50:05 UTC",38.7885,-122.7628,1.4,1.90,23,"Northern California"
us,2013lfaq,5,"Monday, February  4, 2013 14:33:02 UTC",-11.0081,165.4433,4.7,10.00,29,"Santa Cruz Islands"
nc,71934921,0,"Monday, February  4, 2013 14:17:49 UTC",38.8193,-122.7950,1.0,3.20,18,"Northern California"
ak,10650285,1,"Monday, February  4, 2013 14:16:49 UTC",63.0566,-151.5585,1.7,8.50,11,"Central Alaska"
nc,71934916,0,"Monday, February  4, 2013 14:03:41 UTC",38.8107,-122.8202,1.1,2.50,20,"Northern California"
ci,15281217,1,"Monday, February  4, 2013 13:54:18 UTC",36.0932,-117.8500,1.8,0.90,18,"Central California"
ak,10650278,2,"Monday, February  4, 2013 13:51:14 UTC",49.9368,179.1687,3.1,49.90,10,"south of the Aleutian Islands"
us,2013lfap,6,"Monday, February  4, 2013 13:35:29 UTC",37.5340,82.4263,4.7,21.70,72,"southern Xinjiang, China"
nc,71934901,0,"Monday, February  4, 2013 12:59:39 UTC",38.8383,-122.7840,1.2,1.70,17,"Northern California"
hv,60463206,4,"Monday, February  4, 2013 12:16:32 UTC",19.4768,-155.4407,1.7,2.90,46,"Island of Hawaii, Hawaii"
nc,71934881,3,"Monday, February  4, 2013 12:11:54 UTC",36.3067,-120.8553,2.0,7.40,48,"Central California"
nc,71934886,0,"Monday, February  4, 2013 12:11:02 UTC",38.7787,-122.7352,1.0,1.20,19,"Northern California"
us,c000f0wi,8,"Monday, February  4, 2013 12:04:57 UTC",32.8530,94.7124,4.7,35.00,103,"Xizang-Qinghai border region"
us,c000f0wk,4,"Monday, February  4, 2013 11:48:42 UTC",-33.9987,-14.7126,4.6,10.10,25,"southern Mid-Atlantic Ridge"
ak,10650262,1,"Monday, February  4, 2013 11:32:40 UTC",63.7719,-148.5293,1.5,103.80,12,"Central Alaska"
nc,71934871,2,"Monday, February  4, 2013 11:26:21 UTC",39.2317,-120.4795,1.1,2.40,21,"Northern California"
ak,10650259,1,"Monday, February  4, 2013 11:22:41 UTC",62.3772,-148.8537,1.4,38.60, 5,"Central Alaska"
ak,10650250,1,"Monday, February  4, 2013 09:46:29 UTC",63.6410,-150.6290,1.4,14.10, 6,"Central Alaska"
ak,10650245,1,"Monday, February  4, 2013 09:39:30 UTC",63.5000,-147.8151,1.4,2.60,11,"Central Alaska"
us,c000f0vg,4,"Monday, February  4, 2013 09:33:17 UTC",0.6300,126.2420,4.7,14.70,44,"Molucca Sea"
ak,10650241,1,"Monday, February  4, 2013 09:13:30 UTC",62.1302,-150.4269,1.8,17.50, 9,"Central Alaska"
nc,71934826,1,"Monday, February  4, 2013 09:09:39 UTC",38.7755,-122.7455,1.6,2.70,29,"Northern California"
nc,71934821,1,"Monday, February  4, 2013 08:51:56 UTC",38.8132,-122.8250,1.4,2.60,24,"Northern California"
us,c000f0v0,5,"Monday, February  4, 2013 08:38:06 UTC",36.5617,70.8146,4.3,204.30,26,"Hindu Kush region, Afghanistan"
ak,10650235,1,"Monday, February  4, 2013 08:25:31 UTC",62.7106,-151.8527,1.8,4.70,13,"Central Alaska"
us,c000f0uu,5,"Monday, February  4, 2013 08:08:30 UTC",19.0239,121.0521,4.6,48.90,37,"Babuyan Islands region, Philippines"
us,c000f0ut,5,"Monday, February  4, 2013 07:56:53 UTC",34.8916,24.1916,4.7,10.00,102,"Crete, Greece"
ak,10650224,1,"Monday, February  4, 2013 07:16:23 UTC",59.9589,-153.0039,1.6,6.30,11,"Southern Alaska"
us,c000f0uj,7,"Monday, February  4, 2013 07:16:09 UTC",16.2219,120.5795,4.6,54.90,14,"Luzon, Philippines"
ak,10650218,1,"Monday, February  4, 2013 05:46:24 UTC",62.9649,-149.3036,1.3,66.30, 9,"Central Alaska"
us,c000f0tj,9,"Monday, February  4, 2013 05:39:06 UTC",16.8834,-96.7509,4.0,35.00,40,"Oaxaca, Mexico"
ci,15281161,0,"Monday, February  4, 2013 05:28:02 UTC",33.2502,-116.5103,1.5,9.10,11,"Southern California"
ak,10650203,1,"Monday, February  4, 2013 05:25:34 UTC",62.3251,-151.3673,3.1,81.60,39,"Central Alaska"
nc,71934781,0,"Monday, February  4, 2013 05:20:04 UTC",38.7903,-122.7663,1.1,2.20,16,"Northern California"
nc,71934771,1,"Monday, February  4, 2013 05:11:33 UTC",38.8082,-122.8222,1.6,2.50,28,"Northern California"
us,c000f0t9,6,"Monday, February  4, 2013 05:10:32 UTC",15.3195,-94.0306,4.3,72.80,120,"offshore Chiapas, Mexico"
nc,71934756,0,"Monday, February  4, 2013 05:04:42 UTC",38.8065,-122.7813,1.1,0.40,19,"Northern California"
ak,10650187,1,"Monday, February  4, 2013 04:52:11 UTC",61.8354,-148.4928,1.8,34.00, 7,"Southern Alaska"
us,c000f0sw,7,"Monday, February  4, 2013 04:29:46 UTC",43.6808,16.3903,4.5,10.10,35,"Croatia"
ci,15281145,0,"Monday, February  4, 2013 04:11:12 UTC",33.9632,-117.5140,1.7,21.10,19,"Greater Los Angeles area, California"
ci,15281129,1,"Monday, February  4, 2013 04:05:25 UTC",33.9932,-117.0428,1.3,6.80,51,"Greater Los Angeles area, California"
us,c000f0sp,6,"Monday, February  4, 2013 04:00:54 UTC",30.3340,130.9954,4.7,54.30,18,"Kyushu, Japan"
ak,10650166,1,"Monday, February  4, 2013 03:57:03 UTC",61.3554,-146.8333,2.1,12.60,24,"Southern Alaska"
pr,13035001,0,"Monday, February  4, 2013 03:50:16 UTC",18.6970,-64.3087,2.7,73.00, 3,"Virgin Islands region"
us,c000f0sa,3,"Monday, February  4, 2013 03:49:27 UTC",-4.9707,133.9097,4.6,21.80,27,"near the south coast of Papua, Indonesia"
uw,60504521,1,"Monday, February  4, 2013 03:46:17 UTC",48.9357,-119.5805,2.5,1.20, 9,"Washington"
ak,10650165,2,"Monday, February  4, 2013 03:33:57 UTC",61.6031,-141.2173,2.2,5.40,11,"Southern Alaska"
ak,10650156,2,"Monday, February  4, 2013 03:31:00 UTC",51.4374,-177.2211,2.5,37.60,15,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71934726,0,"Monday, February  4, 2013 02:54:26 UTC",38.7888,-122.7630,1.0,2.00,18,"Northern California"
ak,10650145,1,"Monday, February  4, 2013 02:48:35 UTC",61.1206,-150.4060,1.7,15.30,14,"Southern Alaska"
ak,10650143,1,"Monday, February  4, 2013 02:44:49 UTC",63.3253,-145.3073,1.2,16.80, 5,"Central Alaska"
ak,10650141,1,"Monday, February  4, 2013 02:25:42 UTC",62.2748,-150.8830,1.7,70.10, 6,"Central Alaska"
ak,10650161,2,"Monday, February  4, 2013 01:54:44 UTC",51.5747,-176.7491,2.6,49.50,15,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13035002,0,"Monday, February  4, 2013 01:38:57 UTC",18.8850,-64.9170,2.9,55.00, 5,"Virgin Islands region"
ak,10650131,1,"Monday, February  4, 2013 01:35:22 UTC",64.8627,-148.7273,2.1,20.80,18,"Central Alaska"
us,c000f0r7,5,"Monday, February  4, 2013 01:20:21 UTC",-5.5474,130.8369,4.7,58.70,22,"Banda Sea"
ci,15281113,0,"Monday, February  4, 2013 00:38:57 UTC",35.0382,-117.6722,1.6,2.80,16,"Southern California"
ak,10650127,1,"Monday, February  4, 2013 00:15:09 UTC",62.2848,-148.1783,1.4,24.10,10,"Central Alaska"
ci,15281097,0,"Monday, February  4, 2013 00:14:48 UTC",35.8347,-117.6847,1.4,2.10,28,"Central California"
nc,71934656,2,"Sunday, February  3, 2013 23:59:03 UTC",40.3355,-121.9193,2.1,3.50,23,"Northern California"
