mac,bunit,category,should_update,asset_id,dns,country,lat,should_timesync,city,nt_host,owner,requires_av,asset_tag,long,pci_domain,priority,key,ip,is_expected
,,,,,,,,,,,,,americas,,,,ops-sys-006,,
,,,,,,,,,,,,,expected,,,,ops-sys-006,,
,americas,pci,true,0ae0040addf16349b5eb08528957e5726f46f120,,USA,32.931277,true,Dallas,PROD-POS-001,mbcgown,true,should_update,-96.818167,trust,medium,PROD-POS-001,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-001,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-001,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-001,,
,,,,,,,,,,,,,americas,,,,PROD-POS-001,,
,,,,,,,,,,,,,expected,,,,PROD-POS-001,,
,americas,pci,true,10daf8231b2efb20b49519378c19c8ad60c06e35,,USA,32.931277,true,Dallas,PROD-POS-002,gclough,true,should_update,-96.818167,trust,medium,PROD-POS-002,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-002,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-002,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-002,,
,,,,,,,,,,,,,americas,,,,PROD-POS-002,,
,,,,,,,,,,,,,expected,,,,PROD-POS-002,,
,americas,pci,true,ae62ce7343caa47f058e59506d9fceec5b182585,,USA,32.931277,true,Dallas,PROD-POS-003,raceuedo,true,should_update,-96.818167,trust,medium,PROD-POS-003,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-003,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-003,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-003,,
,,,,,,,,,,,,,americas,,,,PROD-POS-003,,
,,,,,,,,,,,,,expected,,,,PROD-POS-003,,
,americas,pci,true,94594b75967f7e48e2e968f6e94b4e44c55863a4,,USA,32.931277,true,Dallas,PROD-POS-004,mpickle,true,should_update,-96.818167,trust,medium,PROD-POS-004,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-004,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-004,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-004,,
,,,,,,,,,,,,,americas,,,,PROD-POS-004,,
,,,,,,,,,,,,,expected,,,,PROD-POS-004,,
,americas,pci,true,5b77651b68ca22aa4fdc88804ba661cbe3fc9a9f,,USA,32.931277,true,Dallas,PROD-POS-005,rgalizia,true,should_update,-96.818167,trust,medium,PROD-POS-005,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-005,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-005,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-005,,
,,,,,,,,,,,,,americas,,,,PROD-POS-005,,
,,,,,,,,,,,,,expected,,,,PROD-POS-005,,
,americas,pci,true,3cd5bc920922b8c1690094f0bed25d81da7e29c3,,USA,32.931277,true,Dallas,PROD-POS-006,,true,should_update,-96.818167,trust,medium,PROD-POS-006,,true
,,,,,,,,,,,,,pci,,,,PROD-POS-006,,
,,,,,,,,,,,,,requires_av,,,,PROD-POS-006,,
,,,,,,,,,,,,,should_timesync,,,,PROD-POS-006,,
,,,,,,,,,,,,,americas,,,,PROD-POS-006,,
,,,,,,,,,,,,,expected,,,,PROD-POS-006,,
,americas,,true,799c566e2b960d45c7f7b624b91b80eccbebc136,,USA,38.959405,true,Washington D.C.,PROD-MFS-001,,false,should_timesync,-77.04,untrust,low,PROD-MFS-001,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-001,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-001,,
,americas,,true,34c4db9dc11246449d201861aced447d8addef89,,USA,38.959405,true,Washington D.C.,PROD-MFS-002,,false,should_timesync,-77.04,untrust,low,PROD-MFS-002,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-002,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-002,,
,americas,,true,99184f106f02fd29846d90f9bdc0144679978771,,USA,38.959405,true,Washington D.C.,PROD-MFS-003,,false,should_timesync,-77.04,untrust,low,PROD-MFS-003,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-003,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-003,,
,americas,,true,360a32860adba15edcb96cfdbc831a8def05ae3d,,USA,38.959405,true,Washington D.C.,PROD-MFS-004,,false,should_timesync,-77.04,untrust,low,PROD-MFS-004,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-004,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-004,,
,americas,,true,15b2c3b3b48484f6e16ca09a31f7d8e17a7f0468,,USA,38.959405,true,Washington D.C.,PROD-MFS-005,,false,should_timesync,-77.04,untrust,low,PROD-MFS-005,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-005,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-005,,
,americas,,true,811a46097904d0b6be6a16a18789b8658297d319,,USA,38.959405,true,Washington D.C.,PROD-MFS-006,,false,should_timesync,-77.04,untrust,low,PROD-MFS-006,,false
,,,,,,,,,,,,,americas,,,,PROD-MFS-006,,
,,,,,,,,,,,,,should_update,,,,PROD-MFS-006,,
,americas,pci,true,6a8bf378b08789310418726f8703f905b4b2d6d2,,USA,38.959405,true,Washington D.C.,COREDEV-001,,true,virtual,-77.04,trust,medium,COREDEV-001,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-001,,
,,,,,,,,,,,,,pci,,,,COREDEV-001,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-001,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-001,,
,,,,,,,,,,,,,americas,,,,COREDEV-001,,
,americas,pci,true,ad0796436df6b7d27525a79a78b13af1c9b3fcaf,,USA,38.959405,true,Washington D.C.,COREDEV-002,,true,virtual,-77.04,trust,medium,COREDEV-002,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-002,,
,,,,,,,,,,,,,pci,,,,COREDEV-002,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-002,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-002,,
,,,,,,,,,,,,,americas,,,,COREDEV-002,,
,americas,pci,true,777f6fa283373807ed89b7585a65f0d98fea7886,,USA,38.959405,true,Washington D.C.,COREDEV-003,,true,virtual,-77.04,trust,medium,COREDEV-003,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-003,,
,,,,,,,,,,,,,pci,,,,COREDEV-003,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-003,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-003,,
,,,,,,,,,,,,,americas,,,,COREDEV-003,,
,americas,pci,true,9a56137d4e7ed686e0f4ddeed4f96beb39bd9118,,USA,38.959405,true,Washington D.C.,COREDEV-004,,true,virtual,-77.04,trust,medium,COREDEV-004,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-004,,
,,,,,,,,,,,,,pci,,,,COREDEV-004,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-004,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-004,,
,,,,,,,,,,,,,americas,,,,COREDEV-004,,
,americas,pci,true,c5dab57f4dd031c3209979a0b55c622d924ca5c2,,USA,38.959405,true,Washington D.C.,COREDEV-005,,true,virtual,-77.04,trust,medium,COREDEV-005,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-005,,
,,,,,,,,,,,,,pci,,,,COREDEV-005,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-005,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-005,,
,,,,,,,,,,,,,americas,,,,COREDEV-005,,
,americas,pci,true,e4374939514dccbefb74dd7c40b055c29ca46c04,,USA,38.959405,true,Washington D.C.,COREDEV-006,,true,virtual,-77.04,trust,medium,COREDEV-006,,false
,,virtual,,,,,,,,,,,should_update,,,,COREDEV-006,,
,,,,,,,,,,,,,pci,,,,COREDEV-006,,
,,,,,,,,,,,,,requires_av,,,,COREDEV-006,,
,,,,,,,,,,,,,should_timesync,,,,COREDEV-006,,
,,,,,,,,,,,,,americas,,,,COREDEV-006,,
,apac,,true,f1412c68b5c24e8d452e6180bad73eb1c5bdcdd5,,TR,41.040855,true,Istanbul,SE-001,,false,should_timesync,28.986183,untrust,low,SE-001,,false
,,,,,,,,,,,,,apac,,,,SE-001,,
,,,,,,,,,,,,,should_update,,,,SE-001,,
,apac,,true,e1f3e31690e90dacddc23dbd31f2fbfd7d282049,,TR,41.040855,true,Istanbul,SE-002,,false,should_timesync,28.986183,untrust,low,SE-002,,false
,,,,,,,,,,,,,apac,,,,SE-002,,
,,,,,,,,,,,,,should_update,,,,SE-002,,
,apac,,true,bd2f53732e89562fb3f393cd70b57e31d263a73f,,TR,41.040855,true,Istanbul,SE-003,,false,should_timesync,28.986183,untrust,low,SE-003,,false
,,,,,,,,,,,,,apac,,,,SE-003,,
,,,,,,,,,,,,,should_update,,,,SE-003,,
,apac,,true,2e480d8bf4a301dddff5b989b28ea9dacf8d235b,,TR,41.040855,true,Istanbul,SE-004,,false,should_timesync,28.986183,untrust,low,SE-004,,false
,,,,,,,,,,,,,apac,,,,SE-004,,
,,,,,,,,,,,,,should_update,,,,SE-004,,
,apac,,true,92fc329d36890fe323223690756a77c6344d573d,,TR,41.040855,true,Istanbul,SE-005,,false,should_timesync,28.986183,untrust,low,SE-005,,false
,,,,,,,,,,,,,apac,,,,SE-005,,
,,,,,,,,,,,,,should_update,,,,SE-005,,
,apac,,true,5651f42c583b6f56dad1fcccdc534ae189088518,,TR,41.040855,true,Istanbul,SE-006,,false,should_timesync,28.986183,untrust,low,SE-006,,false
,,,,,,,,,,,,,apac,,,,SE-006,,
,,,,,,,,,,,,,should_update,,,,SE-006,,
,americas,pci,true,106e58d3915099871625093ad6dc76d55613eb86,,USA,37.694452,true,Pleasanton,BUSDEV-001,,true,should_update,-121.894461,trust,medium,BUSDEV-001,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,BUSDEV-001,,
